item_name,Cold Coffee,Waffles,Strawberry Shake (Milkshake),Chocolate Shake (Milkshake),Mango Shake (Milkshake),Blue Curacao,Oreo Shake (Milkshake),Cad-b,Classic Lemonade,Wonder Vanilla Shake (Milkshake),Belgium Dark Chocolate Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),Blackcurrant Shake (Milkshake),Dry Fruit Shake (Milkshake),Hazelnut Shake (Milkshake),Choco Oreo Shake (Milkshake),Nutella Brownie Shake (Milkshake),Belgium Dark Chocolate Brownie Shake (Milkshake),Kitkat Shake,Chocolate Brownie Shake (Milkshake),Oreo Brownie Shake (Milkshake),Strawberry Cooler,Banana Shake (Milkshake),Caramel Shake (Milkshake),Strawberry Banana Shake (Milkshake),Coffee Brownie Shake (Milkshake),Chilli Guava,Custard Apple (sitaphal),Belgium Dark Chocolate Brownie Shake (Thickshake),Belgium Dark Chocolate Shake (Thickshake)
Cold Coffee,0.0,95.0,69.0,35.0,28.0,55.0,25.0,45.0,45.0,20.0,30.0,24.0,26.0,11.0,16.0,20.0,11.0,8.0,12.0,15.0,10.0,24.0,,12.0,8.0,9.0,17.0,5.0,4.0,7.0
Waffles,95.0,0.0,50.0,38.0,28.0,28.0,26.0,24.0,21.0,19.0,22.0,17.0,18.0,13.0,24.0,17.0,17.0,15.0,15.0,17.0,13.0,16.0,,9.0,13.0,8.0,8.0,9.0,6.0,2.0
Strawberry Shake (Milkshake),69.0,50.0,0.0,52.0,37.0,17.0,24.0,8.0,18.0,36.0,11.0,12.0,64.0,9.0,11.0,11.0,9.0,10.0,14.0,12.0,11.0,5.0,,9.0,8.0,4.0,3.0,4.0,4.0,3.0
Chocolate Shake (Milkshake),35.0,38.0,52.0,0.0,22.0,12.0,21.0,4.0,6.0,14.0,4.0,6.0,10.0,10.0,4.0,6.0,2.0,1.0,7.0,4.0,2.0,4.0,,13.0,3.0,5.0,1.0,3.0,4.0,1.0
Mango Shake (Milkshake),28.0,28.0,37.0,22.0,0.0,18.0,11.0,6.0,9.0,12.0,8.0,10.0,10.0,18.0,0.0,7.0,5.0,4.0,8.0,14.0,9.0,6.0,,5.0,10.0,3.0,3.0,6.0,4.0,3.0
Blue Curacao,55.0,28.0,17.0,12.0,18.0,0.0,10.0,11.0,58.0,8.0,3.0,10.0,10.0,3.0,7.0,10.0,7.0,5.0,8.0,7.0,8.0,34.0,,3.0,3.0,6.0,12.0,4.0,1.0,2.0
Oreo Shake (Milkshake),25.0,26.0,24.0,21.0,11.0,10.0,0.0,3.0,7.0,12.0,5.0,9.0,2.0,8.0,15.0,3.0,7.0,2.0,15.0,3.0,10.0,1.0,,9.0,6.0,2.0,0.0,3.0,2.0,3.0
Cad-b,45.0,24.0,8.0,4.0,6.0,11.0,3.0,0.0,8.0,3.0,5.0,8.0,3.0,7.0,6.0,5.0,6.0,7.0,6.0,5.0,2.0,4.0,,1.0,3.0,3.0,1.0,0.0,9.0,4.0
Classic Lemonade,45.0,21.0,18.0,6.0,9.0,58.0,7.0,8.0,0.0,5.0,9.0,4.0,5.0,5.0,5.0,1.0,3.0,3.0,6.0,3.0,3.0,22.0,,7.0,1.0,4.0,18.0,3.0,2.0,1.0
Wonder Vanilla Shake (Milkshake),20.0,19.0,36.0,14.0,12.0,8.0,12.0,3.0,5.0,0.0,3.0,8.0,13.0,4.0,4.0,0.0,3.0,5.0,3.0,8.0,7.0,1.0,,6.0,2.0,2.0,3.0,0.0,1.0,0.0
Belgium Dark Chocolate Shake (Milkshake),30.0,22.0,11.0,4.0,8.0,3.0,5.0,5.0,9.0,3.0,0.0,9.0,7.0,12.0,11.0,11.0,7.0,6.0,13.0,1.0,2.0,3.0,,4.0,1.0,4.0,5.0,4.0,1.0,2.0
Choco-Chip Brownie Shake (Milkshake),24.0,17.0,12.0,6.0,10.0,10.0,9.0,8.0,4.0,8.0,9.0,0.0,9.0,4.0,6.0,8.0,6.0,5.0,6.0,11.0,13.0,3.0,,4.0,4.0,6.0,2.0,1.0,0.0,1.0
Blackcurrant Shake (Milkshake),26.0,18.0,64.0,10.0,10.0,10.0,2.0,3.0,5.0,13.0,7.0,9.0,0.0,3.0,6.0,8.0,5.0,3.0,2.0,5.0,5.0,6.0,,6.0,4.0,2.0,1.0,5.0,3.0,0.0
Dry Fruit Shake (Milkshake),11.0,13.0,9.0,10.0,18.0,3.0,8.0,7.0,5.0,4.0,12.0,4.0,3.0,0.0,1.0,10.0,4.0,1.0,5.0,3.0,1.0,1.0,,5.0,2.0,3.0,0.0,4.0,1.0,0.0
Hazelnut Shake (Milkshake),16.0,24.0,11.0,4.0,0.0,7.0,15.0,6.0,5.0,4.0,11.0,6.0,6.0,1.0,0.0,6.0,6.0,7.0,6.0,2.0,4.0,1.0,,3.0,6.0,0.0,5.0,0.0,0.0,3.0
Choco Oreo Shake (Milkshake),20.0,17.0,11.0,6.0,7.0,10.0,3.0,5.0,1.0,0.0,11.0,8.0,8.0,10.0,6.0,0.0,3.0,7.0,15.0,1.0,5.0,4.0,,6.0,2.0,2.0,0.0,0.0,0.0,2.0
Nutella Brownie Shake (Milkshake),11.0,17.0,9.0,2.0,5.0,7.0,7.0,6.0,3.0,3.0,7.0,6.0,5.0,4.0,6.0,3.0,0.0,16.0,4.0,6.0,4.0,1.0,,3.0,2.0,2.0,1.0,3.0,0.0,1.0
Belgium Dark Chocolate Brownie Shake (Milkshake),8.0,15.0,10.0,1.0,4.0,5.0,2.0,7.0,3.0,5.0,6.0,5.0,3.0,1.0,7.0,7.0,16.0,0.0,7.0,3.0,5.0,1.0,,3.0,4.0,2.0,4.0,3.0,0.0,1.0
Kitkat Shake,12.0,15.0,14.0,7.0,8.0,8.0,15.0,6.0,6.0,3.0,13.0,6.0,2.0,5.0,6.0,15.0,4.0,7.0,0.0,2.0,5.0,1.0,,3.0,1.0,2.0,0.0,0.0,3.0,3.0
Chocolate Brownie Shake (Milkshake),15.0,17.0,12.0,4.0,14.0,7.0,3.0,5.0,3.0,8.0,1.0,11.0,5.0,3.0,2.0,1.0,6.0,3.0,2.0,0.0,10.0,4.0,,2.0,0.0,3.0,1.0,0.0,1.0,0.0
Oreo Brownie Shake (Milkshake),10.0,13.0,11.0,2.0,9.0,8.0,10.0,2.0,3.0,7.0,2.0,13.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,10.0,0.0,1.0,,1.0,3.0,5.0,4.0,1.0,2.0,1.0
Strawberry Cooler,24.0,16.0,5.0,4.0,6.0,34.0,1.0,4.0,22.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,,0.0,3.0,2.0,10.0,2.0,1.0,0.0
Banana Shake (Milkshake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel Shake (Milkshake),12.0,9.0,9.0,13.0,5.0,3.0,9.0,1.0,7.0,6.0,4.0,4.0,6.0,5.0,3.0,6.0,3.0,3.0,3.0,2.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Strawberry Banana Shake (Milkshake),8.0,13.0,8.0,3.0,10.0,3.0,6.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,6.0,2.0,2.0,4.0,1.0,0.0,3.0,3.0,,0.0,0.0,1.0,1.0,3.0,1.0,0.0
Coffee Brownie Shake (Milkshake),9.0,8.0,4.0,5.0,3.0,6.0,2.0,3.0,4.0,2.0,4.0,6.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Chilli Guava,17.0,8.0,3.0,1.0,3.0,12.0,0.0,1.0,18.0,3.0,5.0,2.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,1.0,4.0,10.0,,1.0,1.0,1.0,0.0,2.0,2.0,0.0
Custard Apple (sitaphal),5.0,9.0,4.0,3.0,6.0,4.0,3.0,0.0,3.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,,0.0,3.0,1.0,2.0,0.0,1.0,3.0
Belgium Dark Chocolate Brownie Shake (Thickshake),4.0,6.0,4.0,4.0,4.0,1.0,2.0,9.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,,0.0,1.0,0.0,2.0,1.0,0.0,2.0
Belgium Dark Chocolate Shake (Thickshake),7.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,3.0,2.0,0.0
