Order_Date,DayOfWeek,item_name,total_units_sold,total_net_sales,average_selling_price,orders_count,weighted_avg_price
2024-03-02,Saturday,Belgium Dark Chocolate Brownie Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,Saturday,Blue Curacao Cooler,5,670.1,134.02,4,134.02
2024-03-02,Saturday,Choco Chip Brownie (Milkshake),3,605.8499999999999,201.94999999999996,3,201.94999999999996
2024-03-02,Saturday,Choco Chip Brownie (Thickshake),1,220.3,220.3,1,220.3
2024-03-02,Saturday,Choco-Chip Banana (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,Saturday,Chocolate Brownie (Milkshake),1,201.95,201.95,1,201.95
2024-03-02,Saturday,Chocolate Shake (Milkshake),4,690.282058,172.570686,3,172.5705145
2024-03-02,Saturday,Chocolate Strawberry Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,Saturday,Chocolate Strawberry Shake (Thickshake),1,240.5,240.5,1,240.5
2024-03-02,Saturday,Coffee Shake (Milkshake),3,517.71,172.57,1,172.57000000000002
2024-03-02,Saturday,Coffee Shake (Thickshake),2,402.06,201.03,2,201.03
2024-03-02,Saturday,Cold Coffee Cooler,7,938.1400000000001,134.02,6,134.02
2024-03-02,Saturday,Dry Fruit Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,Saturday,Hazelnut Shake (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,Saturday,Kitkat,3,88.11,29.37,3,29.37
2024-03-02,Saturday,Kitkat Shake (Milkshake),4,844.52,211.13,2,211.13
2024-03-02,Saturday,Kulfi Shake (Thickshake),1,240.5,240.5,1,240.5
2024-03-02,Saturday,Mango (Milkshake),6,1035.42,172.57,4,172.57000000000002
2024-03-02,Saturday,Oreo,1,29.37,29.37,1,29.37
2024-03-02,Saturday,Oreo Brownie (Milkshake),1,201.95,201.95,1,201.95
2024-03-02,Saturday,Peanut Butter Masala (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,Saturday,Snickers Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,Saturday,Strawberry Banana (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,Saturday,Strawberry Cooler,1,134.02,134.02,1,134.02
2024-03-02,Saturday,Strawberry Shake (Milkshake),9,1379.7,153.3,7,153.3
2024-03-02,Saturday,Waffle,7,963.8299999999999,137.69,7,137.69
2024-03-02,Saturday,Waffle Special Offer,5,454.4,90.88,5,90.88
2024-03-02,Saturday,Wonder Vanilla Shake (Milkshake),2,306.6,153.3,1,153.3
