Hour,5 Star Shake (Milkshake),5 Star Shake (Thickshake),Anjir,Banana Crunch (Thickshake),Banana Crunch Shake (Milkshake),Banana Crunch Shake (Thickshake),Banana Fruit Walker (Milkshake),Banana Shake (Milkshake),Banana Shake (Thickshake),Belgium Dark Chocolate Brownie Shake (Milkshake),Belgium Dark Chocolate Brownie Shake (Thickshake),Belgium Dark Chocolate Shake (Milkshake),Belgium Dark Chocolate Shake (Thickshake),Berryblast,Biscoff,Blackcurrant Crunch Shake (Milkshake),Blackcurrant Crunch Shake (Thickshake),Blackcurrant Shake (Milkshake),Blackcurrant Shake (Thickshake),Blackcurrent Crunch (Milkshake),Blackcurrent Crunch (Thickshake),Blackcurrent Shake (Milkshake),Blackcurrent Shake (Thickshake),Blue Curacao,Blue Curacao Cooler,Blueberry,Brownie Nuts (Thickshake),Brownie Nuts Shake (Milkshake),Brownie Nuts Shake (Thickshake),Bubblegum,Cad-b,Caramel Shake (Milkshake),Caramel Shake (Thickshake),Chilli Guava,Chilli Guava Cooler,Chilli Pineapple,Chilli Pineapple Cooler,Choco Chip Brownie (Milkshake),Choco Chip Brownie (Thickshake),Choco Dip Cookies Shake (Milkshake),Choco Oreo Shake (Milkshake),Choco Oreo Shake (Thickshake),Choco-A-List Shake (Milkshake),Choco-A-List Shake (Thickshake),Choco-Chip,Choco-Chip Banana (Milkshake),Choco-Chip Banana (Thickshake),Choco-Chip Banana Shake (Milkshake),Choco-Chip Banana Shake (Thickshake),Choco-Chip Brownie Shake (Milkshake),Choco-Chip Brownie Shake (Thickshake),Choco-Dip Cookies Shake (Milkshake),Choco-Dip Cookies Shake (Thickshake),Choco-chip Banana (Thickshake),Chocolate Brownie (Milkshake),Chocolate Brownie (Thickshake),Chocolate Brownie Shake (Milkshake),Chocolate Brownie Shake (Thickshake),Chocolate Shake (Milkshake),Chocolate Shake (Thickshake),Chocolate Strawberry Shake (Milkshake),Chocolate Strawberry Shake (Thickshake),Chocolate Waffle,Classic Lemonade,Classic Lemonade Cooler,Classic Waffles,Coffee Brownie (Milkshake),Coffee Brownie (Thickshake),Coffee Brownie Shake (Milkshake),Coffee Brownie Shake (Thickshake),Coffee Shake (Milkshake),Coffee Shake (Thickshake),Cold Coffee,Cold Coffee Cooler,Cookest N Cream Shake (Milkshake),Cookest N Cream Shake (Thickshake),Cookie N Cream Shake (Milkshake),Custard Apple (sitaphal),Dates Shake (Milkshake),Dates Shake (Thickshake),Day-night Waffles,Dry Fruit Shake (Milkshake),Dry Fruit Shake (Thickshake),Dry Fruit Waffles,Fruit A List Shake (Milkshake),Fruit A List Shake (Thickshake),Fruit-A-List Shake (Milkshake),Fruit-A-List Shake (Thickshake),Green Apple,Hazelnut Coffee,Hazelnut Shake (Milkshake),Hazelnut Shake (Thickshake),Ice Cream,Ice Crush Coffee,Kitkat,Kitkat Shake,Kitkat Shake (Milkshake),Kitkat Shake (Thickshake),Kulfi Nuts Shake (Milkshake),Kulfi Nuts Shake (Thickshake),Kulfi Shake (Milkshake),Kulfi Shake (Thickshake),Lemonade,Lichi,Mango (Milkshake),Mango (Thickshake),Mango Shake (Milkshake),Mango Shake (Thickshake),Mocha Coffee,Munch Shake (Milkshake),Munch Shake (Thickshake),Nutella Brownie Shake (Milkshake),Nutella Brownie Shake (Thickshake),Nutella Waffles,Oreo,Oreo 'Go' Nuts Shake (Milkshake),Oreo 'Go' Nuts Shake (Thickshake),Oreo Banana (Milkshake),Oreo Banana (Thickshake),Oreo Banana Shake (Milkshake),Oreo Banana Shake (Thickshake),Oreo Brownie (Milkshake),Oreo Brownie (Thickshake),Oreo Brownie Shake (Milkshake),Oreo Brownie Shake (Thickshake),Oreo Go Nuts Shake (Milkshake),Oreo Shake (Milkshake),Oreo Shake (Thickshake),Pan Shake (Milkshake),Pan Shake (Thickshake),Peanut Butter Banana (Milkshake),Peanut Butter Banana (Thickshake),Peanut Butter Banana Shake (Milkshake),Peanut Butter Banana Shake (Thickshake),Peanut Butter Brownie Shake (Milkshake),Peanut Butter Brownie Shake (Thickshake),Peanut Butter Masala (Milkshake),Peanut Butter Shake (Milkshake),Peanut Butter Shake (Thickshake),Pineapple,Pineapple Mojito,Red Velvet,Red Velvet Shake,Rose,Rose Lemonade,Snickers Shake (Milkshake),Snickers Shake (Thickshake),Strawberry Banana (Milkshake),Strawberry Banana (Thickshake),Strawberry Banana Shake (Milkshake),Strawberry Banana Shake (Thickshake),Strawberry Cooler,Strawberry Crunch Shake (Milkshake),Strawberry Crunch Shake (Thickshake),Strawberry Lemonade,Strawberry Shake (Milkshake),Strawberry Shake (Thickshake),Waffle,Waffle Special Offer,Waffles,Watermelon,Wonder Vanilla Shake (Milkshake),Wonder Vanilla Shake (Thickshake)
10,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
11,0,0,0,0,0,1,0,4,4,3,1,3,2,0,0,0,0,3,0,0,0,0,0,11,0,1,0,0,0,0,4,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,3,0,5,1,0,0,0,0,0,4,0,13,1,1,0,0,6,0,0,0,0,1,1,1,0,73,0,1,0,0,6,2,1,0,3,2,0,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,3,1,0,0,0,0,1,0,1,0,0,0,0,2,0,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,14,0,1,0,21,0,5,0
12,0,0,0,0,2,2,0,6,0,5,1,17,5,1,0,2,0,19,0,0,0,0,0,23,0,0,0,0,1,0,11,8,0,7,2,2,0,1,0,1,17,1,0,0,0,0,0,1,0,8,5,2,1,0,0,2,4,1,33,1,3,0,0,16,0,0,1,0,7,3,2,4,158,0,1,0,0,4,0,0,0,10,2,0,0,0,5,1,0,1,9,3,0,0,0,9,1,0,3,0,1,1,0,1,2,0,32,1,5,0,0,3,2,0,0,1,0,0,0,8,1,2,0,5,2,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,30,3,9,0,65,0,10,5
13,2,0,0,0,2,0,0,6,1,11,7,26,10,3,1,2,0,18,2,0,0,2,1,27,0,1,0,1,1,1,22,7,1,8,4,2,2,2,1,1,16,2,1,0,0,1,1,2,1,20,9,3,1,0,0,1,12,1,40,4,3,2,0,32,0,0,0,0,8,3,8,4,197,10,1,0,0,10,3,1,0,19,4,0,1,0,7,0,1,1,16,6,0,2,1,20,1,0,1,2,5,1,2,0,3,1,27,4,2,0,0,14,4,1,0,2,2,2,0,3,0,0,0,17,1,1,20,4,2,0,0,0,2,0,1,0,0,0,1,3,1,0,2,0,0,0,0,0,0,5,1,21,0,0,0,68,5,15,0,101,1,32,3
14,1,0,0,0,1,0,0,14,1,20,8,35,16,7,1,4,1,27,8,1,0,1,0,64,1,3,0,1,4,0,57,11,2,12,0,4,3,3,1,0,26,8,1,2,1,0,2,3,2,32,6,4,0,0,0,0,24,8,64,4,9,1,0,31,0,0,0,1,12,1,3,7,400,4,4,1,0,6,1,0,0,33,7,3,2,0,3,4,2,4,17,10,2,0,0,20,0,2,4,0,8,2,2,0,3,0,57,5,0,0,1,20,6,9,1,1,1,0,0,1,0,1,2,18,5,0,38,9,2,0,0,1,2,0,3,2,0,1,0,1,0,0,6,0,0,0,0,0,0,13,5,11,3,0,0,78,11,13,1,148,1,64,4
15,1,0,0,1,2,2,1,9,0,19,15,59,10,5,2,2,3,39,4,0,0,0,0,58,1,1,0,5,1,0,56,16,4,26,0,4,0,0,1,1,31,7,0,1,0,0,1,2,0,37,10,7,1,0,0,0,27,9,67,5,5,0,0,55,0,1,1,0,10,4,9,7,440,1,4,0,0,18,7,0,0,33,6,2,2,0,9,2,4,3,28,7,0,5,0,25,0,0,6,5,10,3,2,0,2,0,83,5,3,0,0,17,7,8,1,1,2,0,0,1,2,1,4,26,2,0,66,6,5,1,0,0,2,1,0,0,0,2,1,0,1,0,5,3,0,5,3,0,0,11,2,21,1,2,0,109,9,8,5,207,0,64,4
16,0,0,0,0,1,0,0,27,1,43,22,36,20,0,2,0,1,62,8,1,0,2,0,67,4,3,0,6,0,0,42,22,13,17,1,10,2,1,0,1,36,6,2,0,2,2,0,9,1,35,11,10,1,0,0,0,37,10,88,8,2,2,0,45,2,0,0,0,27,5,4,7,455,9,3,3,1,6,3,0,1,45,2,3,1,0,11,1,4,2,30,9,0,3,0,26,2,0,10,4,9,3,8,0,6,0,75,6,4,0,0,36,11,13,0,2,1,0,0,7,0,2,1,23,3,0,52,10,8,0,1,0,0,0,0,1,1,4,0,4,0,0,5,1,0,2,0,0,0,25,7,32,1,0,0,109,14,15,2,220,1,51,6
17,2,1,0,0,2,0,0,17,4,31,16,54,18,0,1,1,0,41,3,1,0,2,1,67,3,6,1,2,1,0,79,17,0,15,1,8,1,1,0,1,32,5,0,1,0,1,0,5,0,43,4,11,3,0,0,0,22,9,77,4,5,2,2,50,4,0,3,0,26,13,7,9,476,7,11,2,0,10,7,0,0,34,4,2,1,1,6,1,3,4,45,6,0,4,0,29,2,0,10,3,4,1,5,1,3,0,53,6,7,1,0,37,10,9,0,2,0,1,0,3,0,0,1,25,6,0,61,10,1,1,0,0,1,2,4,1,0,0,0,1,2,1,1,0,1,1,2,0,1,25,4,18,3,0,0,113,2,10,1,220,1,46,2
18,0,0,0,0,3,2,0,17,2,28,8,46,12,0,0,3,0,30,6,0,0,2,1,88,3,8,0,2,1,1,50,15,2,13,1,4,1,1,0,1,35,2,2,1,0,1,0,6,1,46,10,8,2,0,3,0,27,4,88,4,5,0,0,52,0,0,0,1,12,8,8,9,357,2,6,2,1,13,4,0,0,44,2,1,2,1,6,3,3,4,36,5,0,0,0,25,0,0,5,2,4,3,1,0,3,0,66,3,4,0,0,27,19,4,0,5,0,0,0,3,1,1,1,19,8,0,57,2,3,0,0,0,3,1,0,1,0,3,1,0,2,0,6,1,0,6,1,1,0,15,4,21,3,0,0,100,8,2,2,217,3,45,5
19,1,0,0,0,3,1,0,18,1,30,9,55,10,2,2,2,0,30,3,0,1,5,0,61,3,4,0,2,1,0,50,35,3,15,2,0,1,0,0,0,37,2,2,0,0,0,0,6,0,44,11,3,0,0,0,0,28,6,68,6,5,3,1,53,2,1,1,0,22,7,9,7,300,2,3,0,0,16,5,0,2,47,5,5,4,0,12,0,8,2,43,5,1,1,1,33,2,0,9,6,10,2,2,1,2,0,77,6,5,0,0,25,16,6,0,1,0,0,0,3,0,0,2,33,5,0,59,5,0,0,0,0,2,1,1,2,0,0,0,3,1,0,2,0,0,8,0,0,1,18,0,24,1,1,0,124,10,6,2,239,3,48,4
