Order_Date,Hour,item_name,total_units_sold,total_net_sales,average_selling_price,orders_count,weighted_avg_price
2024-03-02,10,Coffee Shake (Milkshake),3,517.71,172.57,1,172.57000000000002
2024-03-02,11,Strawberry Shake (Milkshake),1,153.3,153.3,1,153.3
2024-03-02,13,Cold Coffee Cooler,2,268.04,134.02,1,134.02
2024-03-02,13,Kitkat Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,13,Mango (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,13,Waffle,1,137.69,137.69,1,137.69
2024-03-02,14,Blue Curacao Cooler,1,134.02,134.02,1,134.02
2024-03-02,14,Strawberry Cooler,1,134.02,134.02,1,134.02
2024-03-02,15,Blue Curacao Cooler,1,134.02,134.02,1,134.02
2024-03-02,15,Chocolate Shake (Milkshake),2,345.142058,172.571029,2,172.571029
2024-03-02,15,Cold Coffee Cooler,1,134.02,134.02,1,134.02
2024-03-02,15,Hazelnut Shake (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,15,Oreo,1,29.37,29.37,1,29.37
2024-03-02,15,Waffle Special Offer,2,181.76,90.88,2,90.88
2024-03-02,16,Blue Curacao Cooler,2,268.04,134.02,1,134.02
2024-03-02,16,Choco-Chip Banana (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,16,Mango (Milkshake),2,345.14,172.57,1,172.57
2024-03-02,16,Oreo Brownie (Milkshake),1,201.95,201.95,1,201.95
2024-03-02,16,Peanut Butter Masala (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,16,Strawberry Shake (Milkshake),1,153.3,153.3,1,153.3
2024-03-02,17,Chocolate Shake (Milkshake),2,345.14,172.57,1,172.57
2024-03-02,18,Choco Chip Brownie (Milkshake),1,201.95,201.95,1,201.95
2024-03-02,18,Chocolate Brownie (Milkshake),1,201.95,201.95,1,201.95
2024-03-02,18,Coffee Shake (Thickshake),1,201.03,201.03,1,201.03
2024-03-02,18,Kulfi Shake (Thickshake),1,240.5,240.5,1,240.5
2024-03-02,18,Mango (Milkshake),3,517.71,172.57,2,172.57000000000002
2024-03-02,18,Strawberry Banana (Milkshake),1,172.57,172.57,1,172.57
2024-03-02,18,Wonder Vanilla Shake (Milkshake),2,306.6,153.3,1,153.3
2024-03-02,19,Cold Coffee Cooler,1,134.02,134.02,1,134.02
2024-03-02,20,Belgium Dark Chocolate Brownie Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,20,Choco Chip Brownie (Milkshake),2,403.9,201.95,2,201.95
2024-03-02,20,Chocolate Strawberry Shake (Milkshake),1,211.13,211.13,1,211.13
2024-03-02,20,Kitkat,1,29.37,29.37,1,29.37
2024-03-02,20,Waffle,1,137.69,137.69,1,137.69
2024-03-02,21,Blue Curacao Cooler,1,134.02,134.02,1,134.02
2024-03-02,21,Choco Chip Brownie (Thickshake),1,220.3,220.3,1,220.3
2024-03-02,21,Chocolate Strawberry Shake (Thickshake),1,240.5,240.5,1,240.5
2024-03-02,21,Coffee Shake (Thickshake),1,201.03,201.03,1,201.03
2024-03-02,21,Cold Coffee Cooler,3,402.06000000000006,134.02,3,134.02
