YearMonth,item_name,total_units_sold,total_net_sales,average_selling_price
2024-03,5 Star Shake (Milkshake),2,345.14,172.57
2024-03,Banana Crunch (Thickshake),1,211.13,211.13
2024-03,Banana Crunch Shake (Thickshake),1,211.13,211.13
2024-03,Banana Fruit Walker (Milkshake),2,345.14,172.57
2024-03,Banana Shake (Milkshake),15,2753.85,183.59
2024-03,Banana Shake (Thickshake),3,633.39,211.13
2024-03,Belgium Dark Chocolate Brownie Shake (Milkshake),12,2558.81,220.34636363636363
2024-03,Belgium Dark Chocolate Brownie Shake (Thickshake),14,3495.54,249.68142857142857
2024-03,Belgium Dark Chocolate Shake (Milkshake),26,5645.27,217.38227272727272
2024-03,Belgium Dark Chocolate Shake (Thickshake),16,3906.7200000000003,243.92533333333333
2024-03,Blackcurrant Crunch Shake (Milkshake),1,192.77,192.77
2024-03,Blackcurrant Shake (Milkshake),29,4658.5599999999995,160.64
2024-03,Blackcurrant Shake (Thickshake),2,385.54,192.77
2024-03,Blackcurrent Crunch (Milkshake),4,782.08,195.52
2024-03,Blackcurrent Shake (Milkshake),9,1379.7,153.3
2024-03,Blackcurrent Shake (Thickshake),2,363.5,181.75
2024-03,Blue Curacao,23,3166.87,137.69
2024-03,Blue Curacao Cooler,26,3484.5200000000004,134.02
2024-03,Brownie Nuts (Thickshake),1,220.3,220.3
2024-03,Caramel Shake (Milkshake),10,1791.82,178.69222222222223
2024-03,Caramel Shake (Thickshake),5,1015.25,203.05
2024-03,Chilli Guava,12,1652.28,137.69
2024-03,Chilli Guava Cooler,5,670.1,134.02
2024-03,Chilli Pineapple,2,275.38,137.69
2024-03,Chilli Pineapple Cooler,1,134.02,134.02
2024-03,Choco Chip Brownie (Milkshake),14,2827.2999999999997,201.95
2024-03,Choco Chip Brownie (Thickshake),6,1321.8000000000002,220.30000000000004
2024-03,Choco Dip Cookies Shake (Milkshake),6,1035.42,172.57000000000002
2024-03,Choco Oreo Shake (Milkshake),16,3497.29,218.466
2024-03,Choco Oreo Shake (Thickshake),8,1946.02,243.436
2024-03,Choco-Chip,4,117.48,29.37
2024-03,Choco-Chip Banana (Milkshake),6,1035.42,172.57000000000002
2024-03,Choco-Chip Banana (Thickshake),4,804.12,201.03
2024-03,Choco-Chip Banana Shake (Milkshake),1,183.59,183.59
2024-03,Choco-Chip Banana Shake (Thickshake),1,211.13,211.13
2024-03,Choco-Chip Brownie Shake (Milkshake),14,2827.2999999999997,201.94999999999996
2024-03,Choco-Chip Brownie Shake (Thickshake),8,1835.839999999999,229.48
2024-03,Choco-Dip Cookies Shake (Milkshake),3,550.77,183.59
2024-03,Choco-chip Banana (Thickshake),1,113.52000000000001,305.0
2024-03,Chocolate Brownie (Milkshake),2,403.9,201.95
2024-03,Chocolate Brownie (Thickshake),3,660.9000000000001,220.3
2024-03,Chocolate Brownie Shake (Milkshake),7,1413.6499999999999,201.94999999999996
2024-03,Chocolate Brownie Shake (Thickshake),5,1147.4,229.48
2024-03,Chocolate Shake (Milkshake),49,8808.552058,179.65385852380953
2024-03,Chocolate Shake (Thickshake),6,1246.58,207.76333333333332
2024-03,Chocolate Strawberry Shake (Milkshake),5,1073.99,214.798
2024-03,Chocolate Strawberry Shake (Thickshake),3,721.5,240.5
2024-03,Chocolate Waffle,4,444.0,111.0
2024-03,Classic Lemonade,17,2340.73,137.69
2024-03,Classic Lemonade Cooler,11,1474.22,134.02
2024-03,Classic Waffles,2,222.0,111.0
2024-03,Coffee Brownie (Milkshake),7,1413.6499999999999,201.95
2024-03,Coffee Brownie (Thickshake),2,440.6,220.3
2024-03,Coffee Brownie Shake (Milkshake),5,1009.75,201.95
2024-03,Coffee Brownie Shake (Thickshake),1,229.48,229.48
2024-03,Coffee Shake (Milkshake),25,4468.53,179.182
2024-03,Coffee Shake (Thickshake),8,1628.44,203.9157142857143
2024-03,Cold Coffee,49,6746.8099999999995,137.69
2024-03,Cold Coffee Cooler,42,5674.820000000001,135.60551724137932
2024-03,Cookie N Cream Shake (Milkshake),1,211.13,211.13
2024-03,Dates Shake (Milkshake),1,172.57,172.57
2024-03,Dry Fruit Shake (Milkshake),21,4589.62,218.14235294117648
2024-03,Dry Fruit Shake (Thickshake),5,1224.52,246.005
2024-03,Fruit A List Shake (Milkshake),5,862.8499999999999,172.57
2024-03,Fruit A List Shake (Thickshake),2,476.03,238.015
2024-03,Fruit-A-List Shake (Milkshake),1,183.59,183.59
2024-03,Hazelnut Shake (Milkshake),19,3378.0099999999998,177.79
2024-03,Hazelnut Shake (Thickshake),16,3304.62,206.23266666666666
2024-03,Ice Cream,3,82.62,27.54
2024-03,Kitkat,7,205.59,29.37
2024-03,Kitkat Shake,12,2880.0,240.0
2024-03,Kitkat Shake (Milkshake),12,2533.56,211.13000000000002
2024-03,Kitkat Shake (Thickshake),3,721.5,240.5
2024-03,Kulfi Nuts Shake (Milkshake),5,1083.16,216.632
2024-03,Kulfi Nuts Shake (Thickshake),6,1472.36,244.904
2024-03,Kulfi Shake (Milkshake),5,1092.33,218.46599999999998
2024-03,Kulfi Shake (Thickshake),2,481.0,240.5
2024-03,Lemonade,4,550.76,137.69
