item_name,Apr,Aug,Dec,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Total
Cold Coffee,233,494,309,125,383,388,49,441,412,412,322,3568
Waffles,195,276,139,46,236,222,76,252,203,167,152,1964
Strawberry Shake (Milkshake),108,128,96,34,111,108,57,122,104,105,82,1055
Chocolate Shake (Milkshake),64,86,83,27,59,64,49,103,98,68,52,753
Blue Curacao,76,79,33,14,58,104,23,118,72,74,33,684
Mango Shake (Milkshake),76,101,44,20,73,62,17,117,44,96,31,681
Oreo Shake (Milkshake),43,48,54,24,54,51,51,55,60,60,28,528
Cad-b,1,102,37,22,90,89,0,52,37,41,44,515
Classic Lemonade,51,64,37,9,33,50,17,86,61,57,21,486
Wonder Vanilla Shake (Milkshake),38,50,29,20,46,43,28,49,41,70,46,460
Belgium Dark Chocolate Shake (Milkshake),31,70,43,9,48,39,26,48,37,42,27,420
Dry Fruit Shake (Milkshake),28,69,29,7,46,37,21,36,24,58,25,380
Choco-Chip Brownie Shake (Milkshake),18,52,28,13,46,42,14,32,34,54,40,373
Blackcurrant Shake (Milkshake),46,46,20,10,43,47,29,35,29,28,29,362
Hazelnut Shake (Milkshake),26,48,17,5,19,33,19,47,34,40,28,316
Choco Oreo Shake (Milkshake),25,36,37,10,33,22,16,42,21,29,30,301
Belgium Dark Chocolate Brownie Shake (Milkshake),16,32,30,4,48,27,12,19,24,47,14,273
Nutella Brownie Shake (Milkshake),27,27,20,5,29,36,14,35,22,28,29,272
Kitkat Shake,29,38,30,9,26,25,12,29,35,20,17,270
Chocolate Brownie Shake (Milkshake),24,39,17,4,24,33,7,33,25,27,19,252
Oreo Brownie Shake (Milkshake),16,36,24,8,25,24,8,38,15,22,13,229
Strawberry Cooler,25,19,6,1,29,27,10,41,32,13,18,221
Banana Shake (Milkshake),24,23,8,5,14,17,15,13,21,25,17,182
Coffee Brownie Shake (Milkshake),13,28,7,3,19,26,5,24,14,21,17,177
Caramel Shake (Milkshake),16,17,23,5,12,13,10,20,35,15,9,175
Strawberry Banana Shake (Milkshake),17,21,16,6,17,12,10,9,15,30,8,161
Chilli Guava,8,17,2,4,11,30,12,27,13,11,15,150
Custard Apple (sitaphal),35,0,10,1,20,10,0,65,4,0,0,145
Belgium Dark Chocolate Brownie Shake (Thickshake),13,13,5,2,22,17,14,14,8,13,11,132
Belgium Dark Chocolate Shake (Thickshake),18,12,2,2,17,10,16,20,10,2,10,119
Waffle,0,12,4,0,6,17,58,6,2,1,5,111
Nutella Brownie Shake (Thickshake),18,7,7,2,16,12,12,13,5,6,7,105
Choco-Chip Brownie Shake (Thickshake),16,5,5,0,8,10,8,15,10,10,8,95
Oreo Shake (Thickshake),15,5,5,2,7,4,11,9,3,9,9,79
Fruit-A-List Shake (Milkshake),8,8,2,4,12,9,1,8,11,7,8,78
Strawberry Shake (Thickshake),13,10,6,5,6,6,9,8,4,5,3,75
Kulfi Nuts Shake (Milkshake),8,7,4,2,10,8,5,7,8,6,8,73
Coffee Shake (Milkshake),12,7,1,0,2,2,25,7,3,6,3,68
Kulfi Shake (Milkshake),14,1,7,1,9,8,5,5,3,9,6,68
Coffee Shake (Thickshake),14,4,5,1,14,3,8,7,2,3,7,68
Chocolate Brownie Shake (Thickshake),6,4,3,1,1,13,5,17,3,6,4,63
Hazelnut Shake (Thickshake),6,9,1,2,5,4,16,7,1,5,5,61
Choco-Dip Cookies Shake (Milkshake),3,6,7,1,5,7,3,11,5,8,4,60
Cookest N Cream Shake (Milkshake),10,5,5,2,6,6,0,9,6,4,4,57
Nutella Waffles,0,0,40,13,0,0,0,0,4,0,0,57
Chocolate Shake (Thickshake),6,11,3,0,4,7,6,12,4,0,2,55
Chocolate Strawberry Shake (Milkshake),4,10,5,3,6,4,5,3,4,8,2,54
Choco Oreo Shake (Thickshake),6,4,4,0,4,4,8,13,1,5,4,53
