item_name,total_units_sold,total_net_sales,average_selling_price,orders_count,weighted_avg_price
Cold Coffee,3568,509039.25286,142.68933461491443,2445,142.66795203475337
Waffles,1964,338427.238724,172.9977018446171,1682,172.31529466598778
Strawberry Shake (Milkshake),1055,175030.78333399998,166.2407321567329,905,165.90595576682463
Chocolate Shake (Milkshake),753,142772.54062799996,189.84298953429027,624,189.6049676334661
Blue Curacao,684,97470.517143,142.55429068347826,575,142.50075605701755
Mango Shake (Milkshake),681,129475.71856999997,190.10438224872232,587,190.12587161527162
Oreo Shake (Milkshake),528,99162.37,190.3093018018018,440,187.80751893939393
Cad-b,515,117379.26,228.57,429,227.92089320388348
Classic Lemonade,486,69143.494286,142.44487660827252,410,142.2705643744856
Wonder Vanilla Shake (Milkshake),460,76423.473334,166.68776014285712,377,166.13798550869564
Belgium Dark Chocolate Shake (Milkshake),420,95714.37,228.29977591036416,356,227.89135714285715
Dry Fruit Shake (Milkshake),380,85944.84714499999,232.24759087573963,337,226.17065038157892
Choco-Chip Brownie Shake (Milkshake),373,77960.45143,209.41597479411763,340,209.0092531635389
Blackcurrant Shake (Milkshake),362,60056.123333999996,165.95167189341691,319,165.9008931878453
Hazelnut Shake (Milkshake),316,59827.59,190.07027303754265,293,189.3278164556962
Choco Oreo Shake (Milkshake),301,68768.78,228.4856554307116,267,228.467707641196
Belgium Dark Chocolate Brownie Shake (Milkshake),273,61846.901429,229.0496442931727,249,226.54542647985346
Nutella Brownie Shake (Milkshake),272,61916.512858,229.584571432,250,227.63423844852943
Kitkat Shake,270,64656.66,240.0,238,239.46911111111112
Chocolate Brownie Shake (Milkshake),252,52723.46762,209.40294896860988,223,209.22010960317462
Oreo Brownie Shake (Milkshake),229,47813.26,209.10551219512197,204,208.79152838427947
Strawberry Cooler,221,31310.570000000003,142.41786458333334,192,141.67678733031676
Banana Shake (Milkshake),182,34457.009999999995,189.50179012345677,162,189.32423076923075
Coffee Brownie Shake (Milkshake),177,36973.10762,209.11083655405406,148,208.8876136723164
Caramel Shake (Milkshake),175,32950.876189999995,190.34941,159,188.29072108571427
Strawberry Banana Shake (Milkshake),161,30571.829999999998,189.8896,150,189.88714285714283
Chilli Guava,150,21321.38,142.38333333333335,141,142.14253333333335
Custard Apple (sitaphal),145,33009.32,228.57,127,227.65048275862068
Belgium Dark Chocolate Brownie Shake (Thickshake),132,33897.29,256.81666666666666,111,256.79765151515153
Belgium Dark Chocolate Shake (Thickshake),119,30354.94,254.89790476190475,104,255.0835294117647
Waffle,111,15181.6,165.30206896551724,80,136.77117117117118
Nutella Brownie Shake (Thickshake),105,27437.055714,261.72581529292927,99,261.3052925142857
Choco-Chip Brownie Shake (Thickshake),95,22536.01,237.28209876543207,81,237.22115789473682
Oreo Shake (Thickshake),79,17225.260000000002,222.21693548387097,62,218.04126582278482
Fruit-A-List Shake (Milkshake),78,14865.336189999998,190.59785358208956,67,190.58123320512817
Strawberry Shake (Thickshake),75,14820.91,198.68771428571426,70,197.61213333333333
Kulfi Nuts Shake (Milkshake),73,15628.23,243.2925,68,214.08534246575343
Coffee Shake (Milkshake),68,12608.3,186.61599999999999,60,185.41617647058823
Kulfi Shake (Milkshake),68,15343.64,230.44333333333333,63,225.64176470588234
Coffee Shake (Thickshake),68,14828.58,217.64327272727274,55,218.06735294117647
Chocolate Brownie Shake (Thickshake),63,14931.335238,236.84281745833334,48,237.00532123809523
Hazelnut Shake (Thickshake),61,13174.6,216.05783333333335,60,215.97704918032787
Choco-Dip Cookies Shake (Milkshake),60,11401.239999999998,189.95,52,190.02066666666664
Cookest N Cream Shake (Milkshake),57,12962.55,229.16870370370373,54,227.41315789473683
Nutella Waffles,57,9612.86,170.0,51,168.64666666666668
Chocolate Shake (Thickshake),55,11896.087619,218.4747420625,47,216.29250216363636
Chocolate Strawberry Shake (Milkshake),54,12221.84,227.08673076923077,52,226.33037037037036
Choco Oreo Shake (Thickshake),53,13999.439999999999,266.4262790697674,43,264.1403773584905
Coffee Brownie Shake (Thickshake),52,12346.72,237.36638297872338,47,237.43692307692305
Cold Coffee Cooler,52,6713.820000000001,146.12,37,129.1119230769231
Oreo Brownie Shake (Thickshake),51,12102.706667,237.30797386274511,51,237.30797386274511
Blackcurrant Shake (Thickshake),46,9156.62,199.25846153846155,39,199.05695652173915
Chilli Pineapple,46,6550.880000000001,142.39000000000001,44,142.41043478260872
Choco-Chip Banana Shake (Milkshake),45,8530.26,189.51860465116278,43,189.56133333333335
Dry Fruit Shake (Thickshake),45,11402.205714,259.69324041463415,41,253.3823492
Red Velvet Shake,44,10057.08,228.56999999999996,41,228.57
Mango Shake (Thickshake),43,9339.95,217.11829268292684,41,217.20813953488374
Dates Shake (Milkshake),41,7249.849999999999,194.695,38,176.82560975609755
Mocha Coffee,40,6000.0,150.0,32,150.0
Oreo Banana Shake (Milkshake),39,7401.16,189.90583333333333,36,189.77333333333334
Wonder Vanilla Shake (Thickshake),39,7805.92,200.16444444444446,36,200.15179487179486
Blueberry,38,5700.0,150.0,32,150.0
Blackcurrent Shake (Milkshake),38,6301.16,199.99166666666667,36,165.82
Green Apple,36,5400.0,150.0,31,150.0
Caramel Shake (Thickshake),32,6929.6,215.85,25,216.55
Strawberry Banana Shake (Thickshake),31,6750.950000000001,217.83153846153846,26,217.77258064516133
Kulfi Nuts Shake (Thickshake),29,7435.84,256.6433333333333,24,256.408275862069
Berryblast,28,5600.0,200.0,25,200.0
Snickers Shake (Milkshake),28,6451.6914289999995,230.55967034615384,26,230.41755103571427
Hazelnut Coffee,28,4200.0,150.0,26,150.0
Pan Shake (Milkshake),28,4530.089999999999,168.33653846153845,26,161.78892857142856
Lemonade,27,3826.2000000000003,141.826,25,141.7111111111111
Mango (Milkshake),27,4721.82,175.40772727272727,22,174.88222222222223
Blue Curacao Cooler,26,3484.5200000000004,134.02,21,134.02
Brownie Nuts Shake (Milkshake),25,5230.43,209.21720000000002,25,209.21720000000002
Chilli Guava Cooler,23,590.12,170.00434782608696,23,25.657391304347826
Peanut Butter Banana Shake (Milkshake),22,4169.889999999999,189.5404545454545,22,189.5404545454545
Dry Fruit Waffles,22,4400.0,200.0,20,200.0
Ice Crush Coffee,22,3300.0,150.0,14,150.0
Banana Crunch Shake (Milkshake),21,4249.91,201.067,20,202.37666666666667
Fruit A List Shake (Milkshake),20,3907.85,219.18999999999997,11,195.39249999999998
Blackcurrant Crunch Shake (Milkshake),20,3978.31,198.9155,20,198.9155
Banana Shake (Thickshake),19,4138.1900000000005,217.73000000000002,18,217.79947368421054
Pineapple,19,3800.0,200.0,17,200.0
Kulfi Shake (Thickshake),19,4808.092857,256.89225563157896,19,253.05751878947368
Strawberry Crunch Shake (Milkshake),19,3763.85,198.39333333333332,18,198.09736842105264
Oreo 'Go' Nuts Shake (Milkshake),18,4114.26,228.57000000000002,18,228.57000000000002
Waffle Special Offer,18,1635.84,90.88,17,90.88
Peanut Butter Brownie Shake (Milkshake),17,4097.35,248.69647058823531,17,241.02058823529413
Chilli Pineapple Cooler,17,-20.97999999999999,177.29529411764705,17,-1.2341176470588229
Chocolate Strawberry Shake (Thickshake),16,4064.3199999999997,254.01999999999998,16,254.01999999999998
Choco Chip Brownie (Milkshake),16,3347.2999999999997,209.69,15,209.20624999999998
Oreo Brownie (Milkshake),15,2407.17,230.975,12,160.478
Kitkat Shake (Milkshake),14,2873.56,225.9416666666667,12,205.25428571428571
Fruit-A-List Shake (Thickshake),14,3095.27,221.6472727272727,11,221.09071428571428
Watermelon,14,2100.0,150.0,13,150.0
Biscoff,14,3745.71,270.0,14,267.55071428571426
Oreo Brownie (Thickshake),13,3630.9,290.96363636363634,11,279.3
Choco-Dip Cookies Shake (Thickshake),13,2860.38,220.02923076923076,13,220.02923076923076
Choco-A-List Shake (Milkshake),13,2971.4114289999998,228.5701099230769,13,228.5701099230769
Cookest N Cream Shake (Thickshake),12,3050.67,256.2945454545454,11,254.2225
Classic Lemonade Cooler,12,1654.22,138.20000000000002,11,137.85166666666666
Snickers Shake (Thickshake),12,3095.6499999999996,257.9708333333333,12,257.9708333333333
Coffee Brownie (Milkshake),10,2013.6499999999999,223.71875,8,201.36499999999998
Pineapple Mojito,10,1500.0,150.0,10,150.0
Peanut Butter Brownie Shake (Thickshake),10,2469.23,264.923,10,246.923
Peanut Butter Shake (Milkshake),10,1904.8,190.48,9,190.48
Brownie Nuts Shake (Thickshake),10,2381.0,238.1,10,238.1
Choco-Chip Banana Shake (Thickshake),8,1744.48,218.06,8,218.06
Banana Crunch Shake (Thickshake),8,1744.48,217.91857142857143,7,218.06
5 Star Shake (Milkshake),8,1488.02,186.0025,8,186.0025
Choco Chip Brownie (Thickshake),7,1621.8000000000002,231.6857142857143,7,231.6857142857143
Oreo 'Go' Nuts Shake (Thickshake),7,1790.6799999999998,255.81142857142854,7,255.81142857142854
Kitkat,7,205.59,29.37,7,29.37
Choco-A-List Shake (Thickshake),7,1799.98,257.14,7,257.14
Rose,7,1400.0,200.0,6,200.0
Oreo Banana (Milkshake),7,1010.14,221.4485714285714,7,144.3057142857143
Oreo Banana Shake (Thickshake),7,1533.3500000000001,219.05,7,219.05
Munch Shake (Milkshake),6,1100.51,198.006,5,183.41833333333332
Peanut Butter Banana Shake (Thickshake),6,1298.46,216.41,6,216.41
Choco-Chip Banana (Milkshake),6,1035.42,172.57000000000002,6,172.57000000000002
Day-night Waffles,6,1020.0,170.0,6,170.0
Choco Dip Cookies Shake (Milkshake),6,1035.42,172.57000000000002,6,172.57000000000002
Blackcurrent Shake (Thickshake),6,1393.5,228.7,5,232.25
Blackcurrant Crunch Shake (Thickshake),6,1314.3000000000002,219.05000000000004,6,219.05000000000004
Bubblegum,5,1000.0,200.0,5,200.0
Strawberry Crunch Shake (Thickshake),4,876.2,219.05,4,219.05
Chocolate Brownie (Thickshake),4,810.9000000000001,256.8666666666667,3,202.72500000000002
Peanut Butter Shake (Thickshake),4,932.1500000000001,233.03750000000002,4,233.03750000000002
Blackcurrent Crunch (Milkshake),4,782.08,195.52,4,195.52
Chocolate Brownie (Milkshake),4,743.9,230.975,4,185.975
Chocolate Waffle,4,444.0,111.0,4,111.0
Choco-Chip Banana (Thickshake),4,804.12,201.03,4,201.03
Kitkat Shake (Thickshake),4,1046.5,268.6666666666667,3,261.625
Lichi,4,800.0,200.0,4,200.0
Choco-Chip,4,117.48,29.37,4,29.37
Cookie N Cream Shake (Milkshake),4,673.13,266.5325,4,168.2825
Dates Shake (Thickshake),3,657.1500000000001,219.05000000000004,3,219.05000000000004
Ice Cream,3,82.62,27.54,2,27.540000000000003
Pan Shake (Thickshake),3,600.0,200.0,3,200.0
Munch Shake (Thickshake),3,713.1,237.70000000000002,3,237.70000000000002
Rose Lemonade,3,450.0,150.0,3,150.0
Strawberry Banana (Milkshake),3,517.71,172.57000000000002,3,172.57000000000002
Banana Fruit Walker (Milkshake),2,345.14,172.57,2,172.57
Brownie Nuts (Thickshake),2,520.3,260.15,2,260.15
Classic Waffles,2,222.0,111.0,2,111.0
Coffee Brownie (Thickshake),2,440.6,220.3,2,220.3
Oreo,2,58.74,29.37,2,29.37
Fruit A List Shake (Thickshake),2,476.03,238.015,2,238.015
Strawberry Banana (Thickshake),2,402.06,201.03,2,201.03
Anjir,1,205.71,240.0,1,205.71
Blackcurrent Crunch (Thickshake),1,285.0,285.0,1,285.0
Banana Crunch (Thickshake),1,211.13,211.13,1,211.13
5 Star Shake (Thickshake),1,219.05,219.05,1,219.05
Choco-chip Banana (Thickshake),1,113.52000000000001,305.0,1,113.52000000000001
Peanut Butter Banana (Milkshake),1,55.0,235.0,1,55.0
Oreo Go Nuts Shake (Milkshake),1,211.13,211.13,1,211.13
Oreo Banana (Thickshake),1,95.0,275.0,1,95.0
Mango (Thickshake),1,95.0,275.0,1,95.0
Red Velvet,1,111.0,111.0,1,111.0
Peanut Butter Masala (Milkshake),1,172.57,172.57,1,172.57
Peanut Butter Banana (Thickshake),1,201.03,201.03,1,201.03
Strawberry Lemonade,1,134.02,134.02,1,134.02
