item_name,item_quantity
Cold Coffee,3568
Waffles,1964
Strawberry Shake (Milkshake),1055
Chocolate Shake (Milkshake),753
Blue Curacao,684
Mango Shake (Milkshake),681
Oreo Shake (Milkshake),528
Cad-b,515
Classic Lemonade,486
Wonder Vanilla Shake (Milkshake),460
Belgium Dark Chocolate Shake (Milkshake),420
Dry Fruit Shake (Milkshake),380
Choco-Chip Brownie Shake (Milkshake),373
Blackcurrant Shake (Milkshake),362
Hazelnut Shake (Milkshake),316
Choco Oreo Shake (Milkshake),301
Belgium Dark Chocolate Brownie Shake (Milkshake),273
Nutella Brownie Shake (Milkshake),272
Kitkat Shake,270
Chocolate Brownie Shake (Milkshake),252
Oreo Brownie Shake (Milkshake),229
Strawberry Cooler,221
Banana Shake (Milkshake),182
Coffee Brownie Shake (Milkshake),177
Caramel Shake (Milkshake),175
Strawberry Banana Shake (Milkshake),161
Chilli Guava,150
Custard Apple (sitaphal),145
Belgium Dark Chocolate Brownie Shake (Thickshake),132
Belgium Dark Chocolate Shake (Thickshake),119
Waffle,111
Nutella Brownie Shake (Thickshake),105
Choco-Chip Brownie Shake (Thickshake),95
Oreo Shake (Thickshake),79
Fruit-A-List Shake (Milkshake),78
Strawberry Shake (Thickshake),75
Kulfi Nuts Shake (Milkshake),73
Coffee Shake (Milkshake),68
Kulfi Shake (Milkshake),68
Coffee Shake (Thickshake),68
Chocolate Brownie Shake (Thickshake),63
Hazelnut Shake (Thickshake),61
Choco-Dip Cookies Shake (Milkshake),60
Cookest N Cream Shake (Milkshake),57
Nutella Waffles,57
Chocolate Shake (Thickshake),55
Chocolate Strawberry Shake (Milkshake),54
Choco Oreo Shake (Thickshake),53
Coffee Brownie Shake (Thickshake),52
Cold Coffee Cooler,52
Oreo Brownie Shake (Thickshake),51
Blackcurrant Shake (Thickshake),46
Chilli Pineapple,46
Choco-Chip Banana Shake (Milkshake),45
Dry Fruit Shake (Thickshake),45
Red Velvet Shake,44
Mango Shake (Thickshake),43
Dates Shake (Milkshake),41
Mocha Coffee,40
Oreo Banana Shake (Milkshake),39
Wonder Vanilla Shake (Thickshake),39
Blueberry,38
Blackcurrent Shake (Milkshake),38
Green Apple,36
Caramel Shake (Thickshake),32
Strawberry Banana Shake (Thickshake),31
Kulfi Nuts Shake (Thickshake),29
Berryblast,28
Snickers Shake (Milkshake),28
Hazelnut Coffee,28
Pan Shake (Milkshake),28
Lemonade,27
Mango (Milkshake),27
Blue Curacao Cooler,26
Brownie Nuts Shake (Milkshake),25
Chilli Guava Cooler,23
Peanut Butter Banana Shake (Milkshake),22
Dry Fruit Waffles,22
Ice Crush Coffee,22
Banana Crunch Shake (Milkshake),21
Fruit A List Shake (Milkshake),20
Blackcurrant Crunch Shake (Milkshake),20
Banana Shake (Thickshake),19
Pineapple,19
Kulfi Shake (Thickshake),19
Strawberry Crunch Shake (Milkshake),19
Oreo 'Go' Nuts Shake (Milkshake),18
Waffle Special Offer,18
Peanut Butter Brownie Shake (Milkshake),17
Chilli Pineapple Cooler,17
Chocolate Strawberry Shake (Thickshake),16
Choco Chip Brownie (Milkshake),16
Oreo Brownie (Milkshake),15
Kitkat Shake (Milkshake),14
Fruit-A-List Shake (Thickshake),14
Watermelon,14
Biscoff,14
Oreo Brownie (Thickshake),13
Choco-Dip Cookies Shake (Thickshake),13
Choco-A-List Shake (Milkshake),13
Cookest N Cream Shake (Thickshake),12
Classic Lemonade Cooler,12
Snickers Shake (Thickshake),12
Coffee Brownie (Milkshake),10
Pineapple Mojito,10
Peanut Butter Brownie Shake (Thickshake),10
Peanut Butter Shake (Milkshake),10
Brownie Nuts Shake (Thickshake),10
Choco-Chip Banana Shake (Thickshake),8
Banana Crunch Shake (Thickshake),8
5 Star Shake (Milkshake),8
Choco Chip Brownie (Thickshake),7
Oreo 'Go' Nuts Shake (Thickshake),7
Kitkat,7
Choco-A-List Shake (Thickshake),7
Rose,7
Oreo Banana (Milkshake),7
Oreo Banana Shake (Thickshake),7
Munch Shake (Milkshake),6
Peanut Butter Banana Shake (Thickshake),6
Choco-Chip Banana (Milkshake),6
Day-night Waffles,6
Choco Dip Cookies Shake (Milkshake),6
Blackcurrent Shake (Thickshake),6
Blackcurrant Crunch Shake (Thickshake),6
Bubblegum,5
Strawberry Crunch Shake (Thickshake),4
Chocolate Brownie (Thickshake),4
Peanut Butter Shake (Thickshake),4
Blackcurrent Crunch (Milkshake),4
Chocolate Brownie (Milkshake),4
Chocolate Waffle,4
Choco-Chip Banana (Thickshake),4
Kitkat Shake (Thickshake),4
Lichi,4
Choco-Chip,4
Cookie N Cream Shake (Milkshake),4
Dates Shake (Thickshake),3
Ice Cream,3
Pan Shake (Thickshake),3
Munch Shake (Thickshake),3
Rose Lemonade,3
Strawberry Banana (Milkshake),3
Banana Fruit Walker (Milkshake),2
Brownie Nuts (Thickshake),2
Classic Waffles,2
Coffee Brownie (Thickshake),2
Oreo,2
Fruit A List Shake (Thickshake),2
Strawberry Banana (Thickshake),2
Anjir,1
Blackcurrent Crunch (Thickshake),1
Banana Crunch (Thickshake),1
5 Star Shake (Thickshake),1
Choco-chip Banana (Thickshake),1
Peanut Butter Banana (Milkshake),1
Oreo Go Nuts Shake (Milkshake),1
Oreo Banana (Thickshake),1
Mango (Thickshake),1
Red Velvet,1
Peanut Butter Masala (Milkshake),1
Peanut Butter Banana (Thickshake),1
Strawberry Lemonade,1
